ISBN,popularity,avg_ratings,nvotes,Book-Title,Book-Author,Year-Of-Publication,Publisher,Image-URL-S,Image-URL-M,Image-URL-L
0312990456,3.5441942971770812,4.02,142,One for the Money (A Stephanie Plum Novel),Janet Evanovich,2003,St. Martin's Paperbacks,http://images.amazon.com/images/P/0312990456.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0312990456.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0312990456.01.LZZZZZZZ.jpg
1573229571,3.542208834547833,4.18,106,About a Boy (Movie Tie-In),Nick Hornby,2002,Riverhead Books,http://images.amazon.com/images/P/1573229571.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/1573229571.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/1573229571.01.LZZZZZZZ.jpg
0452269571,3.5337500873546213,4.05,128,Bastard Out of Carolina,Dorothy Allison,1993,Plume Books,http://images.amazon.com/images/P/0452269571.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0452269571.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0452269571.01.LZZZZZZZ.jpg
0064472272,3.5223572376993033,4.12,110,"Angus, Thongs and Full-Frontal Snogging: Confessions of Georgia Nicolson",Louise Rennison,2001,HarperTempest,http://images.amazon.com/images/P/0064472272.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0064472272.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0064472272.01.LZZZZZZZ.jpg
0312282990,3.5191108050901128,3.85,198,The Amazing Adventures of Kavalier & Clay,Michael Chabon,2001,Picador,http://images.amazon.com/images/P/0312282990.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0312282990.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0312282990.01.LZZZZZZZ.jpg
0060934417,3.5171000442596747,3.7,350,Bel Canto: A Novel,Ann Patchett,2002,Perennial,http://images.amazon.com/images/P/0060934417.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0060934417.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0060934417.01.LZZZZZZZ.jpg
1573225517,3.5155854630090424,4.13,105,High Fidelity,Nick Hornby,1996,Riverhead Books,http://images.amazon.com/images/P/1573225517.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/1573225517.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/1573225517.01.LZZZZZZZ.jpg
0316776963,3.503852317992849,3.69,340,Me Talk Pretty One Day,David Sedaris,2001,Back Bay Books,http://images.amazon.com/images/P/0316776963.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0316776963.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0316776963.01.LZZZZZZZ.jpg
089480829X,3.500836995351303,3.98,133,What to Expect When You're Expecting (Revised Edition),Arlene Eisenberg,1996,Workman Pub Co,http://images.amazon.com/images/P/089480829X.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/089480829X.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/089480829X.01.LZZZZZZZ.jpg
0385498802,3.4970727996976496,3.86,175,Bee Season: A Novel,Myla Goldberg,2001,Anchor Books/Doubleday,http://images.amazon.com/images/P/0385498802.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0385498802.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0385498802.01.LZZZZZZZ.jpg
0345348036,3.497007508984586,3.87,169,The Princess Bride: S Morgenstern's Classic Tale of True Love and High Adventure,WILLIAM GOLDMAN,1987,Del Rey,http://images.amazon.com/images/P/0345348036.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0345348036.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0345348036.01.LZZZZZZZ.jpg
0316601950,3.4845733831090624,3.59,568,The Pilot's Wife : A Novel,Anita Shreve,1999,Back Bay Books,http://images.amazon.com/images/P/0316601950.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0316601950.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0316601950.01.LZZZZZZZ.jpg
0525947647,3.484341645748369,3.92,143,Lies and the Lying Liars Who Tell Them: A Fair and Balanced Look at the Right,Al Franken,2003,Dutton Books,http://images.amazon.com/images/P/0525947647.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0525947647.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0525947647.01.LZZZZZZZ.jpg
0060930535,3.4843350503650736,3.61,494,The Poisonwood Bible: A Novel,Barbara Kingsolver,1999,Perennial,http://images.amazon.com/images/P/0060930535.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0060930535.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0060930535.01.LZZZZZZZ.jpg
0345439104,3.483257909117957,3.81,187,Drowning Ruth (Oprah's Book Club),CHRISTINA SCHWARZ,2001,Ballantine Books,http://images.amazon.com/images/P/0345439104.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0345439104.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0345439104.01.LZZZZZZZ.jpg
0385512104,3.4749765090417624,4.02,112,The Curious Incident of the Dog in the Night-Time (Today Show Book Club #13),Mark Haddon,2003,Doubleday,http://images.amazon.com/images/P/0385512104.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0385512104.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0385512104.01.LZZZZZZZ.jpg
0684833395,3.4744952880617963,4.04,108,Catch 22,Joseph Heller,1996,Simon & Schuster,http://images.amazon.com/images/P/0684833395.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0684833395.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0684833395.01.LZZZZZZZ.jpg
0312278586,3.469851951074658,3.6,474,The Nanny Diaries: A Novel,Emma McLaughlin,2002,St. Martin's Press,http://images.amazon.com/images/P/0312278586.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0312278586.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0312278586.01.LZZZZZZZ.jpg
0060096195,3.4671257000814184,4.03,107,The Boy Next Door,Meggin Cabot,2002,Avon Trade,http://images.amazon.com/images/P/0060096195.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0060096195.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0060096195.01.LZZZZZZZ.jpg
1592400876,3.4667955450766077,3.97,120,"Eats, Shoots & Leaves: The Zero Tolerance Approach to Punctuation",Lynne Truss,2004,Gotham Books,http://images.amazon.com/images/P/1592400876.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/1592400876.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/1592400876.01.LZZZZZZZ.jpg
0385335482,3.4637667109263415,3.63,350,Confessions of a Shopaholic (Summer Display Opportunity),SOPHIE KINSELLA,2001,Delta,http://images.amazon.com/images/P/0385335482.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0385335482.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0385335482.01.LZZZZZZZ.jpg
0345438329,3.4634575174356512,3.79,182,Big Stone Gap: A Novel (Ballantine Reader's Circle),Adriana Trigiani,2001,Ballantine Books,http://images.amazon.com/images/P/0345438329.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0345438329.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0345438329.01.LZZZZZZZ.jpg
0312265867,3.4632523005170515,3.94,126,To the Nines: A Stephanie Plum Novel,Janet Evanovich,2003,St. Martin's Press,http://images.amazon.com/images/P/0312265867.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0312265867.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0312265867.01.LZZZZZZZ.jpg
0312966970,3.4606000612826264,3.72,225,Four To Score (A Stephanie Plum Novel),Janet Evanovich,1999,St. Martin's Paperbacks,http://images.amazon.com/images/P/0312966970.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0312966970.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0312966970.01.LZZZZZZZ.jpg
0060175400,3.4584375732237267,3.8,172,The Poisonwood Bible,Barbara Kingsolver,1999,HarperCollins,http://images.amazon.com/images/P/0060175400.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0060175400.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0060175400.01.LZZZZZZZ.jpg
0440206154,3.457408644982481,3.62,365,Red Dragon,Thomas Harris,2000,Dell Publishing Company,http://images.amazon.com/images/P/0440206154.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0440206154.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0440206154.01.LZZZZZZZ.jpg
1558745157,3.4566065056901754,3.85,149,The Lost Boy: A Foster Child's Search for the Love of a Family,Dave Pelzer,1997,Health Communications,http://images.amazon.com/images/P/1558745157.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/1558745157.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/1558745157.01.LZZZZZZZ.jpg
0446670251,3.4550702453222937,3.77,185,The Virgin Suicides,Jeffrey Eugenides,1994,Warner Books,http://images.amazon.com/images/P/0446670251.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0446670251.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0446670251.01.LZZZZZZZ.jpg
0061009059,3.4544629665392677,3.66,291,One for the Money (Stephanie Plum Novels (Paperback)),Janet Evanovich,1995,HarperTorch,http://images.amazon.com/images/P/0061009059.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0061009059.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0061009059.01.LZZZZZZZ.jpg
0385722206,3.450900835292046,3.66,283,Balzac and the Little Chinese Seamstress : A Novel,DAI SIJIE,2002,Anchor,http://images.amazon.com/images/P/0385722206.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0385722206.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0385722206.01.LZZZZZZZ.jpg
0671021001,3.4466461618254467,3.57,468,She's Come Undone (Oprah's Book Club),Wally Lamb,1998,Pocket,http://images.amazon.com/images/P/0671021001.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0671021001.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0671021001.01.LZZZZZZZ.jpg
0140042598,3.441268755805242,4.01,101,On the Road,Jack Kerouac,1991,Penguin Books,http://images.amazon.com/images/P/0140042598.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0140042598.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0140042598.01.LZZZZZZZ.jpg
0786867647,3.438054476639555,3.85,139,Lucky Man: A Memoir,Michael J. Fox,2002,Hyperion,http://images.amazon.com/images/P/0786867647.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0786867647.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0786867647.01.LZZZZZZZ.jpg
0316969443,3.4368024027785027,3.8,158,Suzanne's Diary for Nicholas,James Patterson,2001,"Little, Brown",http://images.amazon.com/images/P/0316969443.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0316969443.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0316969443.01.LZZZZZZZ.jpg
0452283205,3.4359091771292367,3.87,131,Falling Angels,Tracy Chevalier,2002,Plume Books,http://images.amazon.com/images/P/0452283205.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0452283205.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0452283205.01.LZZZZZZZ.jpg
0380012863,3.4343808253066683,3.92,118,Jonathan Livingston Seagull,Richard Bach,1976,Avon,http://images.amazon.com/images/P/0380012863.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0380012863.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0380012863.01.LZZZZZZZ.jpg
0385730586,3.4334566083341462,3.87,130,Sisterhood of the Traveling Pants,ANN BRASHARES,2003,Delacorte Books for Young Readers,http://images.amazon.com/images/P/0385730586.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0385730586.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0385730586.01.LZZZZZZZ.jpg
0316096199,3.433154663134298,3.62,301,Lucky : A Memoir,Alice Sebold,2002,Back Bay Books,http://images.amazon.com/images/P/0316096199.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0316096199.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0316096199.01.LZZZZZZZ.jpg
0399501487,3.4319254325876227,3.67,235,Lord of the Flies,William Gerald Golding,1959,Perigee Trade,http://images.amazon.com/images/P/0399501487.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0399501487.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0399501487.01.LZZZZZZZ.jpg
0767905385,3.4308437033615378,3.83,143,Catch Me If You Can: The True Story of a Real Fake,Stan Redding,2000,Broadway,http://images.amazon.com/images/P/0767905385.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0767905385.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0767905385.01.LZZZZZZZ.jpg
0066214122,3.4285052230819715,3.72,191,Prey: A Novel,Michael Crichton,2002,HarperCollins,http://images.amazon.com/images/P/0066214122.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0066214122.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0066214122.01.LZZZZZZZ.jpg
068484267X,3.4271719372401677,3.68,220,Angela's Ashes: A Memoir,Frank McCourt,1999,Scribner,http://images.amazon.com/images/P/068484267X.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/068484267X.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/068484267X.01.LZZZZZZZ.jpg
0345337662,3.425239306793488,3.54,506,Interview with the Vampire,Anne Rice,1993,Ballantine Books,http://images.amazon.com/images/P/0345337662.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0345337662.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0345337662.01.LZZZZZZZ.jpg
0842329242,3.423429291667494,3.87,126,Nicolae: The Rise of Antichrist (Left Behind No. 3),Tim F. Lahaye,1998,Tyndale House Publishers,http://images.amazon.com/images/P/0842329242.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0842329242.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0842329242.01.LZZZZZZZ.jpg
0316182540,3.413985603463061,3.93,107,White Oleander : A Novel,Janet Fitch,2001,"Little, Brown",http://images.amazon.com/images/P/0316182540.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0316182540.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0316182540.01.LZZZZZZZ.jpg
0553213148,3.4082683898383106,3.92,105,Anne of Avonlea (Anne of Green Gables Novels (Paperback)),L.M. MONTGOMERY,1984,Bantam Classics,http://images.amazon.com/images/P/0553213148.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0553213148.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0553213148.01.LZZZZZZZ.jpg
067102423X,3.407125918084536,3.69,194,Bag of Bones,Stephen King,1999,Pocket,http://images.amazon.com/images/P/067102423X.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/067102423X.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/067102423X.01.LZZZZZZZ.jpg
0767905180,3.4049340591315302,3.67,203,Jemima J: A Novel About Ugly Ducklings and Swans,Jane Green,2001,Broadway Books,http://images.amazon.com/images/P/0767905180.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0767905180.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0767905180.01.LZZZZZZZ.jpg
0679731148,3.3995661980035274,3.77,142,A Year in Provence,Peter Mayle,1991,Vintage Books USA,http://images.amazon.com/images/P/0679731148.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0679731148.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0679731148.01.LZZZZZZZ.jpg
1573227331,3.398512292277335,3.9,105,About a Boy,Nick Hornby,1999,Riverhead Books,http://images.amazon.com/images/P/1573227331.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/1573227331.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/1573227331.01.LZZZZZZZ.jpg
0064407667,3.3930152118692534,3.62,230,"The Bad Beginning (A Series of Unfortunate Events, Book 1)",Lemony Snicket,1999,HarperCollins,http://images.amazon.com/images/P/0064407667.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0064407667.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0064407667.01.LZZZZZZZ.jpg
0449912558,3.3917233976546295,3.89,106,The Sparrow,MARY DORIA RUSSELL,1997,Fawcett Books,http://images.amazon.com/images/P/0449912558.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0449912558.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0449912558.01.LZZZZZZZ.jpg
0312422156,3.3916813096805836,3.8,129,Middlesex: A Novel,Jeffrey Eugenides,2003,Picador,http://images.amazon.com/images/P/0312422156.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0312422156.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0312422156.01.LZZZZZZZ.jpg
0060199652,3.388290129510189,3.79,131,Prodigal Summer,Barbara Kingsolver,2000,HarperCollins,http://images.amazon.com/images/P/0060199652.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0060199652.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0060199652.01.LZZZZZZZ.jpg
0385420161,3.383312050926725,3.77,134,"Like Water for Chocolate: A Novel in Monthly Installments, With Recipes, Romances, and Home Remedies",Laura Esquivel,1992,Doubleday Books,http://images.amazon.com/images/P/0385420161.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0385420161.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0385420161.01.LZZZZZZZ.jpg
0671003755,3.380393809371527,3.5,446,She's Come Undone (Oprah's Book Club (Paperback)),Wally Lamb,1996,Washington Square Press,http://images.amazon.com/images/P/0671003755.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0671003755.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0671003755.01.LZZZZZZZ.jpg
0679734775,3.378710497361329,3.8,121,The House on Mango Street (Vintage Contemporaries),SANDRA CISNEROS,1991,Vintage,http://images.amazon.com/images/P/0679734775.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0679734775.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0679734775.01.LZZZZZZZ.jpg
0060928336,3.3782392066308335,3.45,732,Divine Secrets of the Ya-Ya Sisterhood: A Novel,Rebecca Wells,1997,Perennial,http://images.amazon.com/images/P/0060928336.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0060928336.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0060928336.01.LZZZZZZZ.jpg
0385335830,3.3765921388898192,3.88,101,Diary of a Mad Bride (Summer Display Opportunity),Laura Wolf,2002,Delta,http://images.amazon.com/images/P/0385335830.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0385335830.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0385335830.01.LZZZZZZZ.jpg
0060391626,3.371568339176582,3.67,171,I Know This Much Is True (Oprah's Book Club),Wally Lamb,1998,Regan Books,http://images.amazon.com/images/P/0060391626.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0060391626.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0060391626.01.LZZZZZZZ.jpg
0380727501,3.371054019200263,3.86,104,Notes from a Small Island,Bill Bryson,1997,Perennial,http://images.amazon.com/images/P/0380727501.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0380727501.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0380727501.01.LZZZZZZZ.jpg
0446610038,3.3700509570608017,3.5,391,1st to Die: A Novel,James Patterson,2002,Warner Vision,http://images.amazon.com/images/P/0446610038.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0446610038.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0446610038.01.LZZZZZZZ.jpg
0609610597,3.3699762853183506,3.83,110,"The Shelters of Stone (Earth's Children Series, No 5)",JEAN M. AUEL,2002,Crown,http://images.amazon.com/images/P/0609610597.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0609610597.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0609610597.01.LZZZZZZZ.jpg
0385503954,3.36795576313721,3.85,103,Atonement: A Novel,Ian McEwan,2002,Nan A. Talese,http://images.amazon.com/images/P/0385503954.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0385503954.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0385503954.01.LZZZZZZZ.jpg
0552998486,3.361768961871951,3.8,112,Chocolat,Joanne Harris,2000,Black Swan,http://images.amazon.com/images/P/0552998486.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0552998486.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0552998486.01.LZZZZZZZ.jpg
0385335881,3.3589833997228453,3.6,200,Shopaholic Takes Manhattan (Summer Display Opportunity),Sophie Kinsella,2002,Delta,http://images.amazon.com/images/P/0385335881.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0385335881.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0385335881.01.LZZZZZZZ.jpg
0446531332,3.3588772030375154,3.72,136,Nights in Rodanthe,Nicholas Sparks,2002,Warner Books,http://images.amazon.com/images/P/0446531332.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0446531332.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0446531332.01.LZZZZZZZ.jpg
1558744150,3.3501883678529443,3.7,139,Chicken Soup for the Woman's Soul (Chicken Soup for the Soul Series (Paper)),Jack Canfield,1996,Health Communications,http://images.amazon.com/images/P/1558744150.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/1558744150.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/1558744150.01.LZZZZZZZ.jpg
0812511816,3.3491240167386906,3.71,134,"The Eye of the World (The Wheel of Time, Book 1)",Robert Jordan,1990,Tor Fantasy,http://images.amazon.com/images/P/0812511816.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0812511816.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0812511816.01.LZZZZZZZ.jpg
155874262X,3.3432623603831266,3.58,205,Chicken Soup for the Soul (Chicken Soup for the Soul),Jack Canfield,1993,Health Communications,http://images.amazon.com/images/P/155874262X.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/155874262X.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/155874262X.01.LZZZZZZZ.jpg
0312243022,3.3427800796674147,3.66,150,The Hours : A Novel,Michael Cunningham,2000,Picador,http://images.amazon.com/images/P/0312243022.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0312243022.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0312243022.01.LZZZZZZZ.jpg
0345446860,3.336342077562137,3.69,131,Back When We Were Grownups : A Novel (Ballantine Reader's Circle),ANNE TYLER,2002,Ballantine Books,http://images.amazon.com/images/P/0345446860.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0345446860.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0345446860.01.LZZZZZZZ.jpg
038542017X,3.333461628583048,3.72,121,"Like Water for Chocolate : A Novel in Monthly Installments with Recipes, Romances, and Home Remedies",LAURA ESQUIVEL,1995,Anchor,http://images.amazon.com/images/P/038542017X.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/038542017X.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/038542017X.01.LZZZZZZZ.jpg
0316693200,3.3319778662971276,3.7,125,2nd Chance,James Patterson,2002,"Little, Brown",http://images.amazon.com/images/P/0316693200.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0316693200.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0316693200.01.LZZZZZZZ.jpg
0140177396,3.3319015019570593,3.74,113,Of Mice and Men (Penguin Great Books of the 20th Century),John Steinbeck,1993,Penguin Books,http://images.amazon.com/images/P/0140177396.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0140177396.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0140177396.01.LZZZZZZZ.jpg
0842329250,3.331859999598327,3.77,107,Soul Harvest: The World Takes Sides (Left Behind No. 4),Tim Lahaye,1999,Tyndale House Publishers,http://images.amazon.com/images/P/0842329250.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0842329250.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0842329250.01.LZZZZZZZ.jpg
006099486X,3.3303081512647092,3.75,111,"The Professor and the Madman: A Tale of Murder, Insanity, and the Making of The Oxford English Dictionary",Simon Winchester,1999,Perennial,http://images.amazon.com/images/P/006099486X.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/006099486X.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/006099486X.01.LZZZZZZZ.jpg
0345378482,3.3280285362473725,3.64,146,The Andromeda Strain,MICHAEL CRICHTON,1992,Ballantine Books,http://images.amazon.com/images/P/0345378482.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0345378482.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0345378482.01.LZZZZZZZ.jpg
0316789089,3.322247982843923,3.65,138,The Pilot's Wife : A Novel Tag: Author of the Weight of Water (Oprah's Book Club (Hardcover)),Anita Shreve,1999,"Little, Brown",http://images.amazon.com/images/P/0316789089.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0316789089.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0316789089.01.LZZZZZZZ.jpg
0671042262,3.320899664924074,3.65,139,The Blue Nowhere : A Novel,Jeffery Deaver,2002,Pocket,http://images.amazon.com/images/P/0671042262.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0671042262.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0671042262.01.LZZZZZZZ.jpg
0061015725,3.3194466409040215,3.6,162,Prey,Michael Crichton,2003,Avon Books,http://images.amazon.com/images/P/0061015725.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0061015725.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0061015725.01.LZZZZZZZ.jpg
0375726403,3.31519007106141,3.45,321,Empire Falls,Richard Russo,2002,Vintage Books USA,http://images.amazon.com/images/P/0375726403.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0375726403.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0375726403.01.LZZZZZZZ.jpg
1400034779,3.313926591180515,3.42,431,The No. 1 Ladies' Detective Agency (Today Show Book Club #8),Alexander McCall Smith,2003,Anchor,http://images.amazon.com/images/P/1400034779.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/1400034779.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/1400034779.01.LZZZZZZZ.jpg
0060502258,3.3123844956236423,3.43,376,The Divine Secrets of the Ya-Ya Sisterhood: A Novel,Rebecca Wells,2002,HarperTorch,http://images.amazon.com/images/P/0060502258.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0060502258.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0060502258.01.LZZZZZZZ.jpg
0312971346,3.311279135936391,3.53,201,High Five (A Stephanie Plum Novel),Janet Evanovich,2000,St. Martin's Paperbacks,http://images.amazon.com/images/P/0312971346.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0312971346.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0312971346.01.LZZZZZZZ.jpg
0446605239,3.3109646370209798,3.41,465,The Notebook,Nicholas Sparks,1998,Warner Books,http://images.amazon.com/images/P/0446605239.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0446605239.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0446605239.01.LZZZZZZZ.jpg
